{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 34, 6, 466017), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 34, 16, 471275), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 34, 26, 473776), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 34, 36, 477008), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 34, 46, 479758), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 34, 56, 484503), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 35, 6, 490524), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 35, 16, 492627), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 35, 26, 499293), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 35, 36, 501180), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 35, 46, 504210), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 35, 56, 507095), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 36, 6, 510558), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 36, 16, 517137), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 36, 26, 522980), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 36, 36, 525930), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 36, 46, 530705), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 36, 56, 534612), 'error': None, 'pid': 3846}
{'agent': 'CollectMetrics', 'version': '0.1.0', 'status': 'ok', 'hostname': 'MacBookPro.lan', 'last_run': datetime.datetime(2026, 1, 20, 16, 37, 6, 540210), 'error': None, 'pid': 3846}
