2026-01-20 15:04:33.194974 CPU: 0.0%, Memory: 71.9%, Disk: 14.1%
2026-01-20 15:04:43.200771 CPU: 11.8%, Memory: 72.1%, Disk: 14.1%
2026-01-20 15:04:53.203271 CPU: 5.5%, Memory: 70.8%, Disk: 14.1%
2026-01-20 16:34:06.465236 CPU: 14.3%, Memory: 67.9%, Disk: 14.1%
2026-01-20 16:34:16.471037 CPU: 12.3%, Memory: 68.2%, Disk: 14.1%
2026-01-20 16:34:26.473504 CPU: 13.2%, Memory: 67.9%, Disk: 14.1%
2026-01-20 16:34:36.476843 CPU: 16.3%, Memory: 68.2%, Disk: 14.1%
2026-01-20 16:34:46.479433 CPU: 35.7%, Memory: 68.5%, Disk: 14.1%
2026-01-20 16:34:56.484188 CPU: 15.4%, Memory: 68.3%, Disk: 14.1%
2026-01-20 16:35:06.490165 CPU: 7.8%, Memory: 67.7%, Disk: 14.1%
2026-01-20 16:35:16.492205 CPU: 9.6%, Memory: 67.0%, Disk: 14.1%
2026-01-20 16:35:26.498974 CPU: 5.1%, Memory: 67.3%, Disk: 14.1%
2026-01-20 16:35:36.500838 CPU: 5.7%, Memory: 67.1%, Disk: 14.1%
2026-01-20 16:35:46.503868 CPU: 5.6%, Memory: 67.1%, Disk: 14.1%
2026-01-20 16:35:56.506743 CPU: 5.0%, Memory: 66.9%, Disk: 14.1%
2026-01-20 16:36:06.510232 CPU: 5.4%, Memory: 67.0%, Disk: 14.1%
2026-01-20 16:36:16.516826 CPU: 4.9%, Memory: 66.7%, Disk: 14.1%
2026-01-20 16:36:26.522647 CPU: 4.8%, Memory: 67.0%, Disk: 14.1%
2026-01-20 16:36:36.525594 CPU: 5.6%, Memory: 66.7%, Disk: 14.1%
2026-01-20 16:36:46.530373 CPU: 4.8%, Memory: 66.9%, Disk: 14.1%
2026-01-20 16:36:56.534274 CPU: 4.8%, Memory: 66.9%, Disk: 14.1%
2026-01-20 16:37:06.539936 CPU: 5.9%, Memory: 66.9%, Disk: 14.1%
